범주,KPI,산식_정의,단위,개선방향,필요데이터_증거,도입단계,기준선산출,목표설정,연결행동,주의
데이터품질,절대불일치율,|부문합-총계|÷총계×100,%,하향,합계 QA,1단계,정정 전 최초검사,QA 통과 기준선과 공단 운영여건 확인 후 확정,총계 정합성 개선,총계 0은 별도 처리
데이터품질,표준연월 준수율,YYYY-MM 유효값÷전체 연월값×100,%,상향,형식 QA,1단계,정정 전 최초검사,QA 통과 기준선과 공단 운영여건 확인 후 확정,날짜 표준화,통계기준일과 파일생성일 구분
데이터품질,컬럼·단위 일치율,정의·단위·값범위 일치 필드÷검사필드×100,%,상향,데이터사전·값범위 QA,1단계,정정 전 최초검사,QA 통과 기준선과 공단 운영여건 확인 후 확정,헤더·단위·산식 동시 정정,의미 확인 전 값 임의교정 금지
데이터품질,정정이력 공개율,변경이력 공개 수정파일÷전체 수정파일×100,%,상향,수정이력,1단계,운영대장 생성 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,변경 추적,전후값·사유·버전 포함
데이터품질,현행화 준수율,예정주기 내 갱신 파일÷갱신대상 파일×100,%,상향,갱신대장,4단계,갱신주기 확정 후 첫 주기,QA 통과 기준선과 공단 운영여건 확인 후 확정,갱신관리,1회성 통계는 대상에서 구분
데이터품질,오류수정 소요일,정정 공개일-오류 확인일,일,하향,오류처리대장,4단계,첫 확인·정정 사례부터,QA 통과 기준선과 공단 운영여건 확인 후 확정,오류처리 개선,달력일·영업일 중 공단 기준 확정
데이터품질,교차자료 설명률,차이설명 또는 사용기준 보유 교차자료쌍÷차이 교차자료쌍×100,%,상향,교차지표 매핑표,1단계,Ⅴ장 교차자료쌍 최초점검,QA 통과 기준선과 공단 운영여건 확인 후 확정,공식 기준통계 안내,값 차이를 오류로 자동분류하지 않음
데이터품질,보호규칙 준수율,소수셀·보완억제·금지필드 검사 통과 파일÷검사파일×100,%,상향,재식별위험·공개전 QA,2~4단계,시범 공개 전 내부검사,QA 통과 기준선과 공단 운영여건 확인 후 확정,공개위험 통제,최소셀 k는 공단 검토 후 확정
활용성과,신규개방 완료율,QA·보호검토 통과 공개항목÷승인된 신규개방항목×100,%,상향,개방계획·공개URL·검수기록,2~4단계,승인된 범위 확정 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,신규 개방,제안항목을 승인항목으로 미리 간주 금지
활용성과,후속 활용사례 수,증거자료가 확인된 외부·내부 활용사례 건수,건,증가,활용사례 등록대장,4단계,등록체계 구축 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,연구·민간 활용 확산,조회·다운로드와 구분
활용성과,외부의견 처리율,처리완료 외부의견÷접수 외부의견×100,%,상향,오류·개선의견 대장,4단계,창구 운영 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,활용자 피드백,접수·중복·완료 정의
활용성과,재개방 개선건수,외부활용·품질점검을 반영해 재개방한 개선 건수,건,증가,버전·변경이력,4단계,초기 공개버전 이후,QA 통과 기준선과 공단 운영여건 확인 후 확정,품질보완·재개방,단순 파일교체와 실질 개선 구분
활용성과,재현자료 제공률,데이터사전·코드·산식·예제 중 필수묶음 완결 공개자료÷공개자료×100,%,상향,공개 패키지 점검표,4단계,필수묶음 확정 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,외부 재사용 지원,개인정보·보안 제외정보 준수
활용성과,서비스 개선조치 완료율,완료된 승인 개선조치÷승인 개선조치×100,%,상향,서비스 개선대장,4단계,개선백로그 승인 후,QA 통과 기준선과 공단 운영여건 확인 후 확정,서비스 개선,완료와 효과입증을 구분
